n_features,n_samples,embedding_dim,sigma_theta,sigma_Z,sample_cov_SSE,sample_cov_RMSE,ledoit_wolf_SSE,ledoit_wolf_RMSE,latent_model_SSE,latent_model_RMSE
100,500,10,1.0,1.0,1602.212165387269,0.4002764251598223,1556.8809610568844,0.3945733089119035,95374.63601238393,3.0882784202915365
100,500,10,1.0,1.0,2134.648755918836,0.4620225920795254,2035.6501490766907,0.4511817980677735,80962.84008302135,2.845396986064008
100,500,10,1.0,1.0,2191.8200369653205,0.4681687769346991,2165.0388634534606,0.4652997811576382,92705.94540250469,3.044765104281522
100,500,10,1.0,1.0,1528.9514622490756,0.3910180893832247,1493.7094338289855,0.386485372792941,76723.51180014956,2.7699009332492297
100,500,10,1.0,1.0,3696.938773552479,0.6080245696970213,3429.595479412857,0.5856274822284946,105210.83943770696,3.243622040831931
100,500,10,1.0,1.0,2087.619762072051,0.4569047780525008,1985.9914961719144,0.4456446450000172,85952.23684643171,2.931761191612164
100,500,10,1.0,1.0,2146.018518280948,0.4632513916094529,2214.159790111695,0.4705485936767524,70409.32986373847,2.6534756426946617
100,50,10,1.0,0.1,1.962095476499814,0.0140074818454275,2.426662803596402,0.0155777495280814,6.928514097833674,0.0263220707730863
100,50,10,1.0,0.1,2.9213717342962027,0.0170920207532526,2.5784411705602923,0.0160575252469373,115.16077972348688,0.1073129906970665
100,50,10,1.0,0.1,0.6256613352294711,0.0079098756957961,0.5195449010131703,0.0072079463164841,84.22707491629441,0.0917753098149466
100,50,10,1.0,0.1,20.67451545733892,0.0454692373559738,24.93733583281016,0.0499372965155405,70.43719170385704,0.0839268679886584
100,50,10,1.0,0.1,3.888513854250779,0.0197193150343788,3.2546449337153582,0.0180406345057909,7.61347757009546,0.0275925308192189
100,50,10,1.0,0.1,1.789031809835708,0.0133754693743274,2.351390805120279,0.0153342453518922,5.0827521719929845,0.0225449599068017
100,50,10,1.0,0.1,1.4571746080707346,0.0120713487567493,1.0298209826409417,0.0101480095715413,150.39105107386396,0.122634029157434
100,50,10,1.0,0.1,0.9070960985304468,0.0095241592727675,0.8520449926842997,0.0092306283246824,2.007771745785349,0.0141695862529057
